Date,Open,High,Low,Close,Adj Close,Volume
2019-04-29,64.599998,65.010002,64.239998,64.940002,64.940002,11500
2019-04-30,65.559998,65.559998,64.766998,65.266998,65.266998,15500
2019-05-01,65.180000,65.250000,64.260002,64.955002,64.955002,7200
2019-05-02,63.380001,63.380001,62.310001,62.930000,62.930000,12400
2019-05-03,63.270000,63.639999,63.169998,63.169998,63.169998,4700
2019-05-06,62.830002,64.230003,62.830002,64.169998,64.169998,13300
2019-05-07,62.799999,62.939999,62.040001,62.560001,62.560001,31400
2019-05-08,62.701000,63.480000,62.701000,63.270000,63.270000,2700
2019-05-09,62.889999,62.950001,62.498001,62.893002,62.893002,107300
2019-05-10,63.000000,63.335999,62.900002,62.939999,62.939999,4900
2019-05-13,64.389999,64.620003,62.104000,62.178001,62.178001,14300
2019-05-14,63.070000,63.410000,62.939999,63.134998,63.134998,29100
2019-05-15,62.689999,63.750000,62.689999,63.709999,63.709999,7600
2019-05-16,64.300003,64.959999,64.300003,64.531998,64.531998,7200
2019-05-17,64.559998,65.070000,64.099998,64.178001,64.178001,11600
2019-05-20,64.459999,64.869003,64.150002,64.559998,64.559998,10500
2019-05-21,64.339996,64.584999,64.339996,64.419998,64.419998,1400
2019-05-22,63.720001,63.840000,62.325001,62.516998,62.516998,17600
2019-05-23,60.590000,60.720001,58.590000,59.316002,59.316002,51400
2019-05-24,60.200001,60.200001,58.745998,60.090000,60.090000,27600
2019-05-28,60.720001,60.549999,60.270000,60.270000,60.270000,3368
